.tiff image/tiff
.prf application/pics-rules
.pc5 application/x-pc5
.xq text/xml
.prn application/x-prn
.wpd application/x-wpd
.xap application/x-silverlight-app
.vxml text/xml
.ico application/x-ico
.vml text/xml
.r3t text/vnd.rn-realtext3d
.xql text/xml
.rec application/vnd.rn-recording
.tif application/x-tif
.p12 application/x-pkcs12
.red application/x-red
.acp audio/x-mei-aac
.hqx application/mac-binhex40
.p10 application/pkcs10
.hrf application/x-hrf
.latex application/x-latex
.wq1 application/x-wq1
.eml message/rfc822
.emf application/x-emf
.mml text/xml
.rgb application/x-rgb
.wb3 application/x-wb3
.xsd text/xml
.wb1 application/x-wb1
.wb2 application/x-wb2
.prt application/x-prt
.wpl application/vnd.ms-wpl
.wpg application/x-wpg
.uls text/iuls
.c90 application/x-c90
.IVF video/x-ivf
.wr1 application/x-wr1
.xfdf application/vnd.adobe.xfdf
.dll application/x-msdownload
.pcx application/x-pcx
.mnd audio/x-musicnet-download
.htm text/html
.sit application/x-stuffit
.htx text/html
.rmvb application/vnd.rn-realmedia-vbr
.tld text/xml
.wav audio/wav
.java java/*
.vpg application/x-vpeg005
.ptn application/x-ptn
.ent text/xml
.htt text/webviewhtml
.iff application/x-iff
.avi video/avi
.hta application/hta
.xsl text/xml
.cit application/x-cit
.js application/x-javascript
.sis application/vnd.symbian.install
.pcl application/x-pcl
.ig4 application/x-g4
.pci application/x-pci
.ws2 application/x-ws
.htc text/x-component
.xhtml text/html
